"","addresses","ncpdp_id","legal_name","dba_name","address1","address2","city","state","zip","county_fips","msa","open24h_bin","lang1","lang2","lang3","lang4","lang5","dispenserclass_cat","medicare_id","npi_id","maildelivery_bin","maildelivery_cat","compounding_bin","compounding_cat","driveup_bin","dme_bin","dme_cat","walkinclinic_bin","walkinclinic_cat","emerg24h_bin","emerg24h_cat","multidosepkg_bin","multidosepkg_cat","immunizations_bin","immunizations_cat","handicapaccess_bin","is340b_bin","is340b_cat","GEOID","urbanicity","accessradius","geometry"
"1","3705 HWY 431 STE B , ROANOKE , AL 36274",108022,"LINEVILLE CLINIC PHARMACY LLC","LOWRY DRUGS AND GIFTS","3705 HWY 431 STE B",NA,"ROANOKE","AL",36274,1111,NA,"N","en",NA,NA,NA,NA,"Independent",NA,1194730705,"N","No Rx Delivery","N","No compounding services","Y","N","No DME offered","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","Y","Immunization services during business hours","N","N","No 340B relationships","character(0)",NA,NA,c(-84.8436105, 32.8365989)
"2","174 W HIGHWAY 287 , FLORENCE , AZ 851328170",361662,"SUN LIFE FAMILY HEALTH CENTER INC","SUN LIFE FAMILY HEALTH CENTER-FLORENCE","174 W HIGHWAY 287",NA,"FLORENCE","AZ",851328170,4021,6200,"N","en","es",NA,NA,NA,"Independent",NA,1043740566,"N","No Rx Delivery","N","No compounding services","Y","N","No DME offered","Y","Walk-in clinic with limited services, licensed physician","N","No 24h emergency service","N","No multidose compliance packaging","Y","Immunization services during business hours","Y","Y","Owned by 340B entity but also serves non-eligible patients","character(0)",NA,NA,c(-97.5961457, 33.2353638)
"3","60 HIGHWAY 79 N , MAGNOLIA , AR 717533265",411594,"WALMART INC.","WALMART PHARMACY 10-0083","60 HIGHWAY 79 N",NA,"MAGNOLIA","AR",717533265,5027,NA,"N",NA,NA,NA,NA,NA,"Chain","0279610147",1811914302,"N","No Rx Delivery","Y","Basic non-sterile compounding","N","Y","DME off-the-shelf, non-custom, accredited","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","Y","Immunization services during business hours","Y","N","No 340B relationships","character(0)",NA,NA,c(-92.0164909, 37.0532081)
"4","12870 STATE HIGHWAY 9 , ALPHARETTA , GA 30004",1146489,"THE KROGER CO","KROGER DRUGSTORE #495","12870 STATE HIGHWAY 9",NA,"ALPHARETTA","GA",30004,13121,520,"N","en",NA,NA,NA,NA,"Chain","0302060796",1659305464,"N","No Rx Delivery","Y","Basic non-sterile compounding","N","Y","DME for pharmaceuticals and diabetic testing, accredited","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","Y","Immunization services during business hours","Y","N","No 340B relationships","character(0)",NA,NA,c(-86.2715652, 32.1661829)
"5","10 W MAIN ST , AUSTIN , IN 471021304",1524087,"WILLIAMS BROS HEALTH CARE PHARMACY INC","WILLIAMS BROS. HEALTH CARE PHARMACY, INC.","10 W MAIN ST",NA,"AUSTIN","IN",471021304,18143,4520,"N","en",NA,NA,NA,NA,"Independent","0221100013",1265403828,"Y","Rx Delivery For A Fee","Y","Basic non-sterile compounding","Y","Y","DME full range and custom, accredited","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","Y","Immunization services during business hours","Y","N","No 340B relationships","character(0)",NA,NA,c(-97.7430608, 30.267153)
"6","2395 MAIN ST , ROCHESTER , IN 469759137",1528201,"WAL-MART STORES EAST, LP","WALMART PHARMACY 10-1639","2395 MAIN ST",NA,"ROCHESTER","IN",469759137,18049,NA,"N","en",NA,NA,NA,NA,"Chain","4355051418",1922025139,"N","No Rx Delivery","Y","Basic non-sterile compounding","Y","Y","DME off-the-shelf, non-custom, accredited","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","Y","Immunization services during business hours","Y","N","No 340B relationships","character(0)",NA,NA,c(-77.5484172, 43.1588987)
"7","724 MAIN ST , ROCHESTER , IN 469751599",1528352,"WEBBS FAMILY PHARMACY INC","WEBB'S FAMILY PHARMACY","724 MAIN ST",NA,"ROCHESTER","IN",469751599,18049,NA,"N","en",NA,NA,NA,NA,"Independent","0161120001",1831289974,"Y","Rx Delivery For A Fee","Y","Basic non-sterile compounding","Y","Y","DME off-the-shelf, non-custom, accredited","N","No walk-in clinic","Y","24h emergency pharmacist with in-person access","Y","Multidose compliance packaging to all","Y","Immunization services during business hours","Y","Y","Not owned by 340B entity but contracts to covered entities","character(0)",NA,NA,c(-77.5927816, 43.1606002)
"8","10 S MAIN ST STE A , LIBERTY , IN 473531341",1564916,"NRS PHARMACIES OF INDIANA LLC","LIBERTY MEDICENTER PHARMACY","10 S MAIN ST STE A",NA,"LIBERTY","IN",473531341,18161,NA,"N",NA,NA,NA,NA,"en","Independent",NA,1609205681,"Y","Free Rx Delivery","Y","Basic non-sterile compounding","N","N","No DME offered","N","No walk-in clinic","Y","24h emergency remote pharmacist (local)","N","No multidose compliance packaging","Y","Immunization services at select dates and times","Y","N","No 340B relationships","character(0)",NA,NA,c(-114.314364, 48.1989212)
"9","807 S HWY 52 , GUTTENBERG , IA 52052",1625461,"PRESCRIPTION SHOPPE, INC.","NIGHTINGALE DRUG","807 S HWY 52",NA,"GUTTENBERG","IA",52052,19043,NA,"N","en",NA,NA,NA,NA,"Independent",NA,1083158547,"Y","Free Rx Delivery","Y","Basic non-sterile compounding","N","Y","DME off-the-shelf, non-custom, unaccredited","N","No walk-in clinic","Y","24h emergency remote pharmacist (local)","Y","Multidose compliance packaging to all","Y","Immunization services during business hours","Y","Y","Not owned by 340B entity but contracts to covered entities","character(0)",NA,NA,c(-88.2075912, 41.5210513)
"10","13369 N US HWY 25E , CORBIN , KY 40701",1830050,"GIBBS AND CREECH  LLP","CREECH AND GIBBS DRUG","13369 N US HWY 25E",NA,"CORBIN","KY",40701,21235,NA,"N","en",NA,NA,NA,NA,"Independent","6011740001",1952426033,"Y","Free Rx Delivery","N","No compounding services","Y","Y","DME for pharmaceuticals and diabetic testing, accredited","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","N","No on-site immunizations","N","N","No 340B relationships","character(0)",NA,NA,c(-83.6082118, 36.5124663)
"11","34 US HIGHWAY 68 E UNIT A , BENTON , KY 420258336",1838412,"J W PHARMACY","J & R PHARMACY OF DRAFFENVILLE","34 US HIGHWAY 68 E UNIT A",NA,"BENTON","KY",420258336,21157,NA,"N","en",NA,NA,NA,NA,"Independent",NA,1316580939,"Y","Free Rx Delivery","N","No compounding services","Y","N","No DME offered","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","Y","Immunization services at select dates and times","Y","N","No 340B relationships","character(0)",NA,NA,c(-83.8283386, 39.445784)
"12","3066 HWY 78 , LIVONIA , LA 70755",1942615,"J WALKER ENTERPRISES, LLC","WALKER'S PHARMACY","3066 HWY 78",NA,"LIVONIA","LA",70755,22077,NA,"N","en",NA,NA,NA,NA,"Independent",NA,1861028326,"N","No Rx Delivery","N","No compounding services","N","N","No DME offered","N","No walk-in clinic","N","No 24h emergency service","N","No multidose compliance packaging","N","No on-site immunizations","Y","Y","Not owned by 340B entity but contracts to covered entities","c(""22077952100"", ""22077952400"")",NA,NA,c(-91.540849, 30.5782)
